game,avg_rating,rating_count
Marvel Puzzle Quest,23.35,4
Disciples II Gallean's Return,23.3,2
Arma 2 Operation Arrowhead,23.282905982905984,117
Europa Universalis IV,23.208333333333332,24
Middle-earth Shadow of Mordor,23.187912087912085,91
Tom Clancy's Rainbow Six Siege,23.1125,8
The Settlers 7 Paths to a Kingdom,23.099999999999998,3
Jade Empire Special Edition,23.03333333333333,3
Warrior Kings Battles,23.0,1
The Swindle,23.0,1
Global Agenda - Beta,23.0,1
Wizardry 7 Crusaders of the Dark Savant,23.0,1
Hegemony III Clash of the Ancients,23.0,1
Music Creator 6 Touch,23.0,1
Kingdoms of Amalur Reckoning,22.978947368421053,38
Garry's Mod,22.817835671342685,499
Titan Quest Immortal Throne,22.8,25
Trials Fusion,22.8,6
Sins of a Solar Empire Trinity,22.744444444444444,9
Sorcerer King,22.7,2
Warlock 2 the Exiled,22.666666666666668,3
DRAGON BALL XENOVERSE,22.66551724137931,29
Resident Evil 6 / Biohazard 6,22.63125,32
Toy Soldiers,22.520000000000003,5
Tropico 4,22.50862068965517,58
7 Days to Die,22.5,75
Heroes of Hellas 3 Athens,22.45,2
The Secret World,22.41875,16
Sid Meier's Civilization III Complete,22.394117647058824,17
Patrician IV Steam Special Edition,22.380000000000003,5
Sins of a Solar Empire Rebellion,22.37297297297297,37
Anno 2070,22.351020408163265,49
Crysis 2,22.342857142857145,7
Port Royale 3,22.325,8
Dungeons & Dragons Online,22.30909090909091,11
Saints Row The Third,22.226404494382024,178
EVE Online,22.2,18
Uncharted Waters Online Gran Atlas,22.2,2
Anno 1404 Venice,22.2,3
Magic 2014 ,22.155555555555555,36
Life is Feudal Your Own,22.133333333333336,12
Mafia II,22.112631578947365,95
Baldur's Gate Enhanced Edition,22.10952380952381,21
Prince of Persia The Two Thrones,22.0,1
Anno 2205,22.0,1
Qvadriga,22.0,1
Captain Forever Remix,22.0,1
Comanche 4,22.0,1
Aion Collectors Edition,22.0,1
Cloud Chamber,22.0,1
Spintires,21.987999999999996,25
TerraTech,21.95,4
The Witcher Enhanced Edition,21.932000000000002,75
AdVenture Capitalist,21.910227272727273,88
Hearts of Iron III,21.907142857142855,14
Penny Arcade's On the Rain-Slick Precipice of Darkness 4,21.9,2
HuniePop,21.873684210526317,19
Pinball FX2,21.849999999999998,8
Call of Duty Black Ops III,21.75,34
H1Z1,21.72142857142857,112
Sid Meier's Civilization IV,21.644827586206898,29
Assassin's Creed Revelations,21.620833333333334,24
Prototype,21.61875,16
RIDE Game,21.599999999999998,3
Impire,21.566666666666666,3
Rusty Hearts,21.566666666666666,3
Phantom Breaker Battle Grounds,21.566666666666666,3
Men of War Assault Squad,21.544444444444444,9
Counter-Strike Source,21.538148984198646,443
Overlord Raising Hell,21.400000000000002,6
Return to Castle Wolfenstein,21.380000000000003,5
Watch_Dogs,21.363636363636363,33
The Elder Scrolls IV Oblivion ,21.338461538461537,52
Sleeping Dogs,21.288,75
The Talos Principle,21.235,20
Sword Coast Legends,21.2,2
Empyrion - Galactic Survival,21.2,6
Mini Metro,21.18,5
Crusader Kings II,21.15681818181818,44
Euro Truck Simulator 2,21.125581395348835,129
ARK Survival Evolved,21.074747474747475,99
Infinifactory,21.05,2
Towns,21.033333333333335,3
Broken Sword 4 - the Angel of Death,21.0,1
